zone,total_ha_y2018,total_ha_y2025,built_up_y2018_ha,built_up_y2025_ha,built_up_change_ha,built_up_y2018_pct,built_up_y2025_pct,vegetation_y2018_ha,vegetation_y2025_ha,vegetation_change_ha,vegetation_y2018_pct,vegetation_y2025_pct,open_bare_y2018_ha,open_bare_y2025_ha,open_bare_change_ha,open_bare_y2018_pct,open_bare_y2025_pct,water_wetland_y2018_ha,water_wetland_y2025_ha,water_wetland_change_ha,water_wetland_y2018_pct,water_wetland_y2025_pct,beach_sand_y2018_ha,beach_sand_y2025_ha,beach_sand_change_ha,beach_sand_y2018_pct,beach_sand_y2025_pct
gn5,327.78,327.78,148.22,155.32,7.1,45.22,47.39,59.65,58.1,-1.55,18.2,17.73,108.68,104.19,-4.49,33.16,31.79,2.67,2.0,-0.67,0.81,0.61,8.56,8.17,-0.39,2.61,2.49
mount_lavinia_gn,115.88,115.88,51.86,52.81,0.95,44.75,45.57,21.05,21.41,0.36,18.17,18.48,34.89,34.83,-0.06,30.11,30.06,2.32,1.59,-0.73,2.0,1.37,5.76,5.24,-0.52,4.97,4.52
other_4gn,214.85,214.85,98.59,104.71,6.12,45.89,48.74,38.8,36.9,-1.9,18.06,17.17,74.27,69.87,-4.4,34.57,32.52,0.36,0.42,0.06,0.17,0.2,2.83,2.95,0.12,1.32,1.37
