zone,total_ha_y2000,total_ha_y2025,built_up_y2000_ha,built_up_y2025_ha,built_up_change_ha,built_up_y2000_pct,built_up_y2025_pct,vegetation_y2000_ha,vegetation_y2025_ha,vegetation_change_ha,vegetation_y2000_pct,vegetation_y2025_pct,open_bare_y2000_ha,open_bare_y2025_ha,open_bare_change_ha,open_bare_y2000_pct,open_bare_y2025_pct,water_wetland_y2000_ha,water_wetland_y2025_ha,water_wetland_change_ha,water_wetland_y2000_pct,water_wetland_y2025_pct,beach_sand_y2000_ha,beach_sand_y2025_ha,beach_sand_change_ha,beach_sand_y2000_pct,beach_sand_y2025_pct
gn5,338.85,338.85,36.9,62.82,25.92,10.89,18.54,179.37,108.99,-70.38,52.93,32.16,116.46,162.72,46.26,34.37,48.02,2.52,2.43,-0.09,0.74,0.72,3.6,1.89,-1.71,1.06,0.56
mount_lavinia_gn,122.04,122.04,24.12,29.88,5.76,19.76,24.48,43.74,36.36,-7.38,35.84,29.79,49.32,53.37,4.05,40.41,43.73,2.34,1.53,-0.81,1.92,1.25,2.52,0.9,-1.62,2.06,0.74
other_4gn,225.63,225.63,17.55,38.25,20.7,7.78,16.95,137.61,74.07,-63.54,60.99,32.83,69.21,111.42,42.21,30.67,49.38,0.18,0.9,0.72,0.08,0.4,1.08,0.99,-0.09,0.48,0.44
